Tm,Win_Pct,Pts_For,Pts_Against,PD,SOS,Year
Dallas Cowboys,.375,394,436,-42,,2010
Washington Redskins,.375,302,377,-75,,2010
NFC North,NFC North,NFC North,NFC North,NFC North,,2010
Chicago Bears*,.688,334,286,48,,2010
Green Bay Packers+,.625,388,240,148,,2010
Detroit Lions,.375,362,369,-7,,2010
Minnesota Vikings,.375,281,348,-67,,2010
NFC South,NFC South,NFC South,NFC South,NFC South,,2010
Atlanta Falcons*,.813,414,288,126,,2010
New Orleans Saints+,.688,384,307,77,,2010
Tampa Bay Buccaneers,.625,341,318,23,,2010
Carolina Panthers,.125,196,408,-212,,2010
NFC West,NFC West,NFC West,NFC West,NFC West,,2010
Seattle Seahawks*,.438,310,407,-97,,2010
St. Louis Rams,.438,289,328,-39,,2010
San Francisco 49ers,.375,305,346,-41,,2010
Arizona Cardinals,.313,289,434,-145,,2010
AFC East,AFC East,AFC East,AFC East,AFC East,,2011
New England Patriots*,.813,513,342,171,,2011
New York Jets,.500,377,363,14,,2011
Miami Dolphins,.375,329,313,16,,2011
Buffalo Bills,.375,372,434,-62,,2011
AFC North,AFC North,AFC North,AFC North,AFC North,,2011
Baltimore Ravens*,.750,378,266,112,,2011
Pittsburgh Steelers+,.750,325,227,98,,2011
Cincinnati Bengals+,.563,344,323,21,,2011
Cleveland Browns,.250,218,307,-89,,2011
AFC South,AFC South,AFC South,AFC South,AFC South,,2011
Houston Texans*,.625,381,278,103,,2011
Tennessee Titans,.563,325,317,8,,2011
Jacksonville Jaguars,.313,243,329,-86,,2011
Indianapolis Colts,.125,243,430,-187,,2011
AFC West,AFC West,AFC West,AFC West,AFC West,,2011
Denver Broncos*,.500,309,390,-81,,2011
San Diego Chargers,.500,406,377,29,,2011
Oakland Raiders,.500,359,433,-74,,2011
Kansas City Chiefs,.438,212,338,-126,,2011
NFC East,NFC East,NFC East,NFC East,NFC East,,2011
New York Giants*,.563,394,400,-6,,2011
Philadelphia Eagles,.500,396,328,68,,2011
Dallas Cowboys,.500,369,347,22,,2011
Washington Redskins,.313,288,367,-79,,2011
NFC North,NFC North,NFC North,NFC North,NFC North,,2011
Green Bay Packers*,.938,560,359,201,,2011
Detroit Lions+,.625,474,387,87,,2011
Chicago Bears,.500,353,341,12,,2011
Minnesota Vikings,.188,340,449,-109,,2011
NFC South,NFC South,NFC South,NFC South,NFC South,,2011
New Orleans Saints*,.813,547,339,208,,2011
Atlanta Falcons+,.625,402,350,52,,2011
Carolina Panthers,.375,406,429,-23,,2011
Tampa Bay Buccaneers,.250,287,494,-207,,2011
NFC West,NFC West,NFC West,NFC West,NFC West,,2011
San Francisco 49ers*,.813,380,229,151,,2011
Arizona Cardinals,.500,312,348,-36,,2011
Seattle Seahawks,.438,321,315,6,,2011
St. Louis Rams,.125,193,407,-214,,2011
AFC East,AFC East,AFC East,AFC East,AFC East,,2012
New England Patriots*,.750,557,331,226,,2012
Miami Dolphins,.438,288,317,-29,,2012
New York Jets,.375,281,375,-94,,2012
Buffalo Bills,.375,344,435,-91,,2012
AFC North,AFC North,AFC North,AFC North,AFC North,,2012
Baltimore Ravens*,.625,398,344,54,,2012
Cincinnati Bengals+,.625,391,320,71,,2012
Pittsburgh Steelers,.500,336,314,22,,2012
Cleveland Browns,.313,302,368,-66,,2012
AFC South,AFC South,AFC South,AFC South,AFC South,,2012
Houston Texans*,.750,416,331,85,,2012
Indianapolis Colts+,.688,357,387,-30,,2012
Tennessee Titans,.375,330,471,-141,,2012
Jacksonville Jaguars,.125,255,444,-189,,2012
AFC West,AFC West,AFC West,AFC West,AFC West,,2012
Denver Broncos*,.813,481,289,192,,2012
San Diego Chargers,.438,350,350,0,,2012
Oakland Raiders,.250,290,443,-153,,2012
Kansas City Chiefs,.125,211,425,-214,,2012
NFC East,NFC East,NFC East,NFC East,NFC East,,2012
Washington Redskins*,.625,436,388,48,,2012
New York Giants,.563,429,344,85,,2012
Dallas Cowboys,.500,376,400,-24,,2012
Philadelphia Eagles,.250,280,444,-164,,2012
NFC North,NFC North,NFC North,NFC North,NFC North,,2012
Green Bay Packers*,.688,433,336,97,,2012
Minnesota Vikings+,.625,379,348,31,,2012
Chicago Bears,.625,375,277,98,,2012
Detroit Lions,.250,372,437,-65,,2012
NFC South,NFC South,NFC South,NFC South,NFC South,,2012
Atlanta Falcons*,.813,419,299,120,,2012
Carolina Panthers,.438,357,363,-6,,2012
New Orleans Saints,.438,461,454,7,,2012
Tampa Bay Buccaneers,.438,389,394,-5,,2012
NFC West,NFC West,NFC West,NFC West,NFC West,,2012
San Francisco 49ers*,.719,397,273,124,,2012
Seattle Seahawks+,.688,412,245,167,,2012
St. Louis Rams,.469,299,348,-49,,2012
Arizona Cardinals,.313,250,357,-107,,2012
AFC East,AFC East,AFC East,AFC East,AFC East,,2013
New England Patriots*,.750,444,338,106,,2013
New York Jets,.500,290,387,-97,,2013
Miami Dolphins,.500,317,335,-18,,2013
Buffalo Bills,.375,339,388,-49,,2013
AFC North,AFC North,AFC North,AFC North,AFC North,,2013
Cincinnati Bengals*,.688,430,305,125,,2013
Pittsburgh Steelers,.500,379,370,9,,2013
Baltimore Ravens,.500,320,352,-32,,2013
Cleveland Browns,.250,308,406,-98,,2013
AFC South,AFC South,AFC South,AFC South,AFC South,,2013
Indianapolis Colts*,.688,391,336,55,,2013
Tennessee Titans,.438,362,381,-19,,2013
Jacksonville Jaguars,.250,247,449,-202,,2013
Houston Texans,.125,276,428,-152,,2013
AFC West,AFC West,AFC West,AFC West,AFC West,,2013
Denver Broncos*,.813,606,399,207,,2013
Kansas City Chiefs+,.688,430,305,125,,2013
San Diego Chargers+,.563,396,348,48,,2013
Oakland Raiders,.250,322,453,-131,,2013
NFC East,NFC East,NFC East,NFC East,NFC East,,2013
Philadelphia Eagles*,.625,442,382,60,,2013
Dallas Cowboys,.500,439,432,7,,2013
New York Giants,.438,294,383,-89,,2013
Washington Redskins,.188,334,478,-144,,2013
NFC North,NFC North,NFC North,NFC North,NFC North,,2013
Green Bay Packers*,.531,417,428,-11,,2013
Chicago Bears,.500,445,478,-33,,2013
Detroit Lions,.438,395,376,19,,2013
Minnesota Vikings,.344,391,480,-89,,2013
NFC South,NFC South,NFC South,NFC South,NFC South,,2013
Carolina Panthers*,.750,366,241,125,,2013
New Orleans Saints+,.688,414,304,110,,2013
Atlanta Falcons,.250,353,443,-90,,2013
Tampa Bay Buccaneers,.250,288,389,-101,,2013
NFC West,NFC West,NFC West,NFC West,NFC West,,2013
Seattle Seahawks*,.813,417,231,186,,2013
San Francisco 49ers+,.750,406,272,134,,2013
Arizona Cardinals,.625,379,324,55,,2013
St. Louis Rams,.438,348,364,-16,,2013
AFC East,AFC East,AFC East,AFC East,AFC East,,2014
New England Patriots*,.750,468,313,155,,2014
Buffalo Bills,.563,343,289,54,,2014
Miami Dolphins,.500,388,373,15,,2014
New York Jets,.250,283,401,-118,,2014
AFC North,AFC North,AFC North,AFC North,AFC North,,2014
Pittsburgh Steelers*,.688,436,368,68,,2014
Cincinnati Bengals+,.656,365,344,21,,2014
Baltimore Ravens+,.625,409,302,107,,2014
Cleveland Browns,.438,299,337,-38,,2014
AFC South,AFC South,AFC South,AFC South,AFC South,,2014
Indianapolis Colts*,.688,458,369,89,,2014
Houston Texans,.563,372,307,65,,2014
Jacksonville Jaguars,.188,249,412,-163,,2014
Tennessee Titans,.125,254,438,-184,,2014
AFC West,AFC West,AFC West,AFC West,AFC West,,2014
Denver Broncos*,.750,482,354,128,,2014
Kansas City Chiefs,.563,353,281,72,,2014
San Diego Chargers,.563,348,348,0,,2014
